GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "01000","Alabama",5,SAOVA,"Thousands of dollars",26,"  Federal",15868,18725,18000,17367,17946,18704
 "01000","Alabama",5,SAOVA,"Thousands of dollars",27,"  State and local",216262,228515,240889,241921,233369,245523
 "02000","Alaska",8,SAOVA,"Thousands of dollars",1,"All Industries",1844539,1910543,1942033,2135002,2176127,2187367
 "02000","Alaska",8,SAOVA,"Thousands of dollars",2," Private Industries",1621130,1672018,1688761,1866011,1903248,1902875
 "02000","Alaska",8,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",7426,9043,9141,9678,9549,10117
 "02000","Alaska",8,SAOVA,"Thousands of dollars",4,"  Mining",3492,3406,3347,2244,1896,2278
 "02000","Alaska",8,SAOVA,"Thousands of dollars",5,"  Utilities",27,29,25,30,35,37
 "02000","Alaska",8,SAOVA,"Thousands of dollars",6,"  Construction",28696,26392,24984,23716,24597,24782
 "02000","Alaska",8,SAOVA,"Thousands of dollars",7,"  Manufacturing",93966,101217,108534,116152,99440,133404
 "02000","Alaska",8,SAOVA,"Thousands of dollars",8,"   Durable goods",3499,3705,3706,3617,3662,3723
 "02000","Alaska",8,SAOVA,"Thousands of dollars",9,"   Nondurable goods",90467,97512,104828,112534,95778,129681
 "02000","Alaska",8,SAOVA,"Thousands of dollars",10,"  Wholesale trade",26810,26553,26278,25327,22782,23435
 "02000","Alaska",8,SAOVA,"Thousands of dollars",11,"  Retail trade",330926,334119,348784,375070,377775,387089
 "02000","Alaska",8,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",470598,498867,492508,561512,612199,582573
 "02000","Alaska",8,SAOVA,"Thousands of dollars",13,"  Information",2487,2744,2757,2968,3161,3354
 "02000","Alaska",8,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",137961,142634,118533,127355,133284,135789
 "02000","Alaska",8,SAOVA,"Thousands of dollars",15,"   Finance and insurance",7368,6473,7987,8789,8829,8260
 "02000","Alaska",8,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",130592,136161,110547,118565,124454,127529
 "02000","Alaska",8,SAOVA,"Thousands of dollars",17,"  Professional and business services",14455,14171,14774,16023,16598,18877
 "02000","Alaska",8,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",7034,6763,7126,7450,7623,7835
 "02000","Alaska",8,SAOVA,"Thousands of dollars",19,"   Educational services",5090,4912,5218,5386,5491,5613
 "02000","Alaska",8,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",1943,1851,1908,2064,2132,2223
 "02000","Alaska",8,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",478909,487357,512561,578652,574500,553672
 "02000","Alaska",8,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",133123,131374,137134,135889,137622,138851
 "02000","Alaska",8,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",345786,355982,375427,442763,436878,414822
 "02000","Alaska",8,SAOVA,"Thousands of dollars",24,"  Other services, except government",18344,18724,19410,19835,19809,19632
 "02000","Alaska",8,SAOVA,"Thousands of dollars",25," Government",223409,238525,253272,268991,272880,284492
 "02000","Alaska",8,SAOVA,"Thousands of dollars",26,"  Federal",40237,43996,44204,43986,46371,46582
 "02000","Alaska",8,SAOVA,"Thousands of dollars",27,"  State and local",183172,194529,209067,225005,226509,237909
 "04000","Arizona",6,SAOVA,"Thousands of dollars",1,"All Industries",7062225,7155316,7336986,7822918,8162301,8654150
 "04000","Arizona",6,SAOVA,"Thousands of dollars",2," Private Industries",6612370,6663406,6827407,7282206,7601598,8066337
 "04000","Arizona",6,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",60624,72824,68756,70823,67956,75616
 "04000","Arizona",6,SAOVA,"Thousands of dollars",4,"  Mining",1267,1056,815,596,525,1070
 "04000","Arizona",6,SAOVA,"Thousands of dollars",5,"  Utilities",20,21,18,20,23,23
 "04000","Arizona",6,SAOVA,"Thousands of dollars",6,"  Construction",87197,89444,75884,67968,76493,84328
 "04000","Arizona",6,SAOVA,"Thousands of dollars",7,"  Manufacturing",279218,287103,279125,290295,313095,360525
 "04000","Arizona",6,SAOVA,"Thousands of dollars",8,"   Durable goods",202887,207851,197615,205357,223467,270563
 "04000","Arizona",6,SAOVA,"Thousands of dollars",9,"   Nondurable goods",76332,79252,81510,84938,89628,89962
 "04000","Arizona",6,SAOVA,"Thousands of dollars",10,"  Wholesale trade",410702,396022,403425,419281,409072,407438
 "04000","Arizona",6,SAOVA,"Thousands of dollars",11,"  Retail trade",1792454,1860988,1888538,1973090,2014196,2116316
 "04000","Arizona",6,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",912441,900273,957862,1044128,1098721,1112567
 "04000","Arizona",6,SAOVA,"Thousands of dollars",13,"  Information",16667,18121,18566,20661,22226,24576
 "04000","Arizona",6,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",694313,705413,595599,663408,699119,709129
 "04000","Arizona",6,SAOVA,"Thousands of dollars",15,"   Finance and insurance",42754,38223,48335,54999,56049,53379
 "04000","Arizona",6,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",651559,667190,547264,608410,643070,655749
 "04000","Arizona",6,SAOVA,"Thousands of dollars",17,"  Professional and business services",207605,200793,208393,226729,239227,275594
 "04000","Arizona",6,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",48898,47761,51298,52437,54437,56259
 "04000","Arizona",6,SAOVA,"Thousands of dollars",19,"   Educational services",37842,37456,40344,40833,42282,43582
 "04000","Arizona",6,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",11056,10306,10954,11603,12155,12677
 "04000","Arizona",6,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",2015234,1996401,2187374,2357045,2507569,2739479
 "04000","Arizona",6,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",796850,809473,873613,896216,966475,1024244
 "04000","Arizona",6,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",1218384,1186928,1313761,1460830,1541093,1715235
 "04000","Arizona",6,SAOVA,"Thousands of dollars",24,"  Other services, except government",85730,87187,91753,95725,98940,103416
 "04000","Arizona",6,SAOVA,"Thousands of dollars",25," Government",449855,491910,509580,540712,560703,587813
 "04000","Arizona",6,SAOVA,"Thousands of dollars",26,"  Federal",122670,134491,128061,128148,135607,140700
 "04000","Arizona",6,SAOVA,"Thousands of dollars",27,"  State and local",327185,357419,381519,412564,425096,447113
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",1,"All Industries",2456988,2543247,2602423,2736062,2853584,2887050
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",2," Private Industries",2309420,2384181,2436749,2561062,2672298,2697898
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",69761,77385,76458,76286,70700,72679
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",4,"  Mining",1582,1633,1734,1212,1035,1146
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",5,"  Utilities",4,4,4,4,4,4
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",6,"  Construction",28275,29971,36333,44067,48922,52113
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",7,"  Manufacturing",409004,446634,465467,490961,521663,559630
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",8,"   Durable goods",189017,212226,224536,244745,247044,271353
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",9,"   Nondurable goods",219986,234407,240932,246216,274619,288276
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",10,"  Wholesale trade",271396,263181,271267,285324,275061,274054
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",11,"  Retail trade",705372,731249,731176,755782,782788,787842
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",118423,118520,121250,123606,122265,121615
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",13,"  Information",13402,13733,13601,13637,13785,15057
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",124967,124665,106393,116788,136901,137102
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",15,"   Finance and insurance",18892,16985,21476,24638,25970,25654
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",106075,107680,84917,92150,110931,111448
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",17,"  Professional and business services",24055,23956,26091,28820,30608,33494
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",19119,18952,20293,20802,21695,22185
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",19,"   Educational services",15281,15316,16495,16806,17464,17915
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",3838,3635,3798,3996,4231,4270
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",490877,500588,531772,568114,610618,584497
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",163625,168072,176899,181740,195162,207343
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",327252,332516,354873,386374,415457,377154
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",24,"  Other services, except government",33184,33709,34909,35661,36251,36479
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",25," Government",147568,159067,165674,174999,181285,189152
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",26,"  Federal",33650,36321,34062,33807,36422,37727
 "05000","Arkansas",5,SAOVA,"Thousands of dollars",27,"  State and local",113918,122746,131612,141192,144863,151426
 "06000","California",8,SAOVA,"Thousands of dollars",1,"All Industries",42124667,43115793,44553908,47108968,48359912,52120252
 "06000","California",8,SAOVA,"Thousands of dollars",2," Private Industries",39178765,40116422,41514822,44015999,45142526,48774747
 "06000","California",8,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",792098,934422,936147,940726,906587,908849
 "06000","California",8,SAOVA,"Thousands of dollars",4,"  Mining",7121,6935,6756,4350,3579,4377
 "06000","California",8,SAOVA,"Thousands of dollars",5,"  Utilities",105,109,99,106,109,103
 "06000","California",8,SAOVA,"Thousands of dollars",6,"  Construction",681223,691582,680364,892350,1001689,1079573
 "06000","California",8,SAOVA,"Thousands of dollars",7,"  Manufacturing",5727311,5699846,5779676,5773580,5204998,5773527
 "06000","California",8,SAOVA,"Thousands of dollars",8,"   Durable goods",1448539,1493905,1503220,1603540,1603334,1706799
 "06000","California",8,SAOVA,"Thousands of dollars",9,"   Nondurable goods",4278772,4205941,4276456,4170040,3601664,4066728
 "06000","California",8,SAOVA,"Thousands of dollars",10,"  Wholesale trade",4063742,3990709,4285283,4566431,4366655,4345349
 "06000","California",8,SAOVA,"Thousands of dollars",11,"  Retail trade",9165611,9411856,9547849,9971344,10257283,10838594
 "06000","California",8,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",3994395,4545932,4894844,5420227,5832346,6600513
 "06000","California",8,SAOVA,"Thousands of dollars",13,"  Information",147541,161366,168844,195398,215724,243548
 "06000","California",8,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",2229158,2178169,2048267,2261762,2407837,2675553
 "06000","California",8,SAOVA,"Thousands of dollars",15,"   Finance and insurance",259023,231146,278062,302676,303545,291747
 "06000","California",8,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",1970135,1947022,1770205,1959087,2104292,2383806
 "06000","California",8,SAOVA,"Thousands of dollars",17,"  Professional and business services",690879,678371,708145,774456,819180,958148
 "06000","California",8,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",378913,382489,410722,420039,440774,461185
 "06000","California",8,SAOVA,"Thousands of dollars",19,"   Educational services",326862,333255,359304,365715,383595,401802
 "06000","California",8,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",52051,49233,51418,54324,57179,59383
 "06000","California",8,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",10682288,10803568,11384947,12096256,12950172,14095235
 "06000","California",8,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",5734977,5831143,6207294,6448192,6931945,7461103
 "06000","California",8,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",4947311,4972425,5177652,5648064,6018226,6634132
 "06000","California",8,SAOVA,"Thousands of dollars",24,"  Other services, except government",618381,631069,662881,698973,735594,790192
 "06000","California",8,SAOVA,"Thousands of dollars",25," Government",2945902,2999371,3039086,3092969,3217386,3345505
 "06000","California",8,SAOVA,"Thousands of dollars",26,"  Federal",457046,511941,490348,484242,503367,509988
 "06000","California",8,SAOVA,"Thousands of dollars",27,"  State and local",2488857,2487430,2548738,2608727,2714019,2835517
 "08000","Colorado",7,SAOVA,"Thousands of dollars",1,"All Industries",8728806,8924273,9418698,10075251,10449632,11308942
 "08000","Colorado",7,SAOVA,"Thousands of dollars",2," Private Industries",8075849,8255813,8725237,9366044,9719858,10541979
 "08000","Colorado",7,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",98153,118151,121958,128801,122090,134177
 "08000","Colorado",7,SAOVA,"Thousands of dollars",4,"  Mining",10248,9089,8566,6107,5492,7969
 "08000","Colorado",7,SAOVA,"Thousands of dollars",5,"  Utilities",11,12,11,12,13,13
 "08000","Colorado",7,SAOVA,"Thousands of dollars",6,"  Construction",137872,107434,104989,116161,133625,145044
 "08000","Colorado",7,SAOVA,"Thousands of dollars",7,"  Manufacturing",466749,476870,491689,488837,424982,449206
 "08000","Colorado",7,SAOVA,"Thousands of dollars",8,"   Durable goods",198570,194423,188463,189739,168877,194105
 "08000","Colorado",7,SAOVA,"Thousands of dollars",9,"   Nondurable goods",268178,282447,303226,299098,256105,255102
 "08000","Colorado",7,SAOVA,"Thousands of dollars",10,"  Wholesale trade",608532,596105,638845,694555,694102,701313
 "08000","Colorado",7,SAOVA,"Thousands of dollars",11,"  Retail trade",1870615,1949389,1988840,2065994,2090724,2241274
 "08000","Colorado",7,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",792034,894864,1090510,1251086,1325098,1503904
 "08000","Colorado",7,SAOVA,"Thousands of dollars",13,"  Information",39980,42100,42595,46654,49248,53222
 "08000","Colorado",7,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",700834,704674,683597,794732,848576,878328
 "08000","Colorado",7,SAOVA,"Thousands of dollars",15,"   Finance and insurance",271782,240331,294075,323995,329605,314047
 "08000","Colorado",7,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",429052,464343,389522,470737,518970,564281
 "08000","Colorado",7,SAOVA,"Thousands of dollars",17,"  Professional and business services",192132,184569,190613,203428,210838,238748
 "08000","Colorado",7,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",110690,110588,119686,124039,131569,139451
 "08000","Colorado",7,SAOVA,"Thousands of dollars",19,"   Educational services",100847,101452,110126,113787,120556,127443
 "08000","Colorado",7,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",9842,9136,9560,10251,11013,12008
 "08000","Colorado",7,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",2960420,2972983,3149600,3347149,3580005,3939526
 "08000","Colorado",7,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",1415404,1417818,1511501,1566301,1689610,1788763
 "08000","Colorado",7,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",1545016,1555165,1638098,1780848,1890395,2150763
 "08000","Colorado",7,SAOVA,"Thousands of dollars",24,"  Other services, except government",87580,88985,93738,98490,103495,109802
 "08000","Colorado",7,SAOVA,"Thousands of dollars",25," Government",652957,668460,693461,709207,729774,766963
 "08000","Colorado",7,SAOVA,"Thousands of dollars",26,"  Federal",109978,116719,116885,116132,125097,130202
 "08000","Colorado",7,SAOVA,"Thousands of dollars",27,"  State and local",542979,551741,576576,593075,604677,636761
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",1,"All Industries",3304274,3414238,3386836,3477072,3529701,3594652
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",2," Private Industries",3144854,3242868,3204018,3285059,3335204,3390193
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",27788,35529,34318,37407,35166,36225
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",4,"  Mining",24,21,23,19,20,29
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",5,"  Utilities",18,19,17,20,23,24
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",6,"  Construction",35006,35675,58313,66712,68799,73644
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",7,"  Manufacturing",401281,460328,432998,452877,435993,451906
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",8,"   Durable goods",268316,320616,291250,309663,296981,322702
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",9,"   Nondurable goods",132966,139713,141749,143214,139013,129204
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",10,"  Wholesale trade",411722,403838,416776,432690,414050,402074
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",11,"  Retail trade",961607,980669,952577,964937,982158,982530
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",170407,176936,170128,164894,153661,148763
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",13,"  Information",15233,16000,15928,16744,17676,18463
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",193786,177359,173784,193326,203733,205969
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",15,"   Finance and insurance",63048,56570,69592,77454,78203,73449
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",130738,120789,104192,115872,125531,132520
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",17,"  Professional and business services",63974,61698,63941,67612,68848,75830
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",45103,46442,48808,48476,50397,50684
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",19,"   Educational services",38192,39792,42066,41543,43158,43427
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",6911,6650,6742,6933,7239,7258
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",761992,790819,777116,779082,843588,881062
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",397500,405481,429969,441279,461873,478414
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",364492,385338,347147,337803,381715,402647
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",24,"  Other services, except government",56911,57535,59291,60261,61092,62991
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",25," Government",159421,171370,182818,192014,194497,204459
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",26,"  Federal",4937,6420,6348,6230,6423,6956
 "09000","Connecticut",1,SAOVA,"Thousands of dollars",27,"  State and local",154483,164950,176471,185784,188074,197503
 "10000","Delaware",2,SAOVA,"Thousands of dollars",1,"All Industries",1166235,1161875,1172834,1229121,1293598,1309865
 "10000","Delaware",2,SAOVA,"Thousands of dollars",2," Private Industries",1128021,1118814,1125998,1177342,1239442,1253257
 "10000","Delaware",2,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",8688,9468,9096,8570,8216,8540
 "10000","Delaware",2,SAOVA,"Thousands of dollars",4,"  Mining",0,0,0,0,0,0
 "10000","Delaware",2,SAOVA,"Thousands of dollars",5,"  Utilities",3,3,3,3,3,3
 "10000","Delaware",2,SAOVA,"Thousands of dollars",6,"  Construction",10347,11464,12754,14824,16682,17790
 "10000","Delaware",2,SAOVA,"Thousands of dollars",7,"  Manufacturing",157555,142246,139136,125768,101211,112658
 "10000","Delaware",2,SAOVA,"Thousands of dollars",8,"   Durable goods",7987,8063,8068,7794,7121,6660
 "10000","Delaware",2,SAOVA,"Thousands of dollars",9,"   Nondurable goods",149568,134183,131068,117974,94090,105998
 "10000","Delaware",2,SAOVA,"Thousands of dollars",10,"  Wholesale trade",65673,63893,66136,67601,64546,61440
 "10000","Delaware",2,SAOVA,"Thousands of dollars",11,"  Retail trade",362899,375561,386204,406363,423726,430046
 "10000","Delaware",2,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",16591,16581,16500,16426,16059,16545
 "10000","Delaware",2,SAOVA,"Thousands of dollars",13,"  Information",2646,2819,2802,2946,2980,3104
 "10000","Delaware",2,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",135178,136988,112945,120980,137377,134604
 "10000","Delaware",2,SAOVA,"Thousands of dollars",15,"   Finance and insurance",16471,14377,15770,16170,15581,14543
 "10000","Delaware",2,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",118707,122610,97175,104810,121796,120060
 "10000","Delaware",2,SAOVA,"Thousands of dollars",17,"  Professional and business services",28715,27106,27961,29876,31150,35193
 "10000","Delaware",2,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",7642,7276,7765,8114,8525,8683
 "10000","Delaware",2,SAOVA,"Thousands of dollars",19,"   Educational services",5210,4994,5367,5543,5804,5920
 "10000","Delaware",2,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",2432,2281,2398,2570,2722,2763
 "10000","Delaware",2,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",321763,315050,333927,364703,417408,412483
 "10000","Delaware",2,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",82741,82625,86207,87244,92169,95887
 "10000","Delaware",2,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",239022,232425,247720,277459,325239,316596
 "10000","Delaware",2,SAOVA,"Thousands of dollars",24,"  Other services, except government",10319,10360,10769,11168,11559,12168
 "10000","Delaware",2,SAOVA,"Thousands of dollars",25," Government",38214,43062,46836,51779,54156,56607
 "10000","Delaware",2,SAOVA,"Thousands of dollars",26,"  Federal",1569,1783,1742,1655,1688,1756
 "10000","Delaware",2,SAOVA,"Thousands of dollars",27,"  State and local",36645,41279,45094,50124,52468,54851
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",1,"All Industries",1402232,1378767,1379610,1538561,1513688,1623489
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",2," Private Industries",1177166,1102138,1094955,1225101,1176875,1274056
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",0,0,0,0,0,0
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",4,"  Mining",0,0,0,0,0,0
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",5,"  Utilities",5,5,4,4,5,5
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",6,"  Construction",31211,31157,31691,50662,54920,56901
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",7,"  Manufacturing",5644,6039,5817,5647,5471,5714
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",8,"   Durable goods",1253,1479,1182,1198,1140,1613
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",9,"   Nondurable goods",4391,4560,4635,4449,4331,4101
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",10,"  Wholesale trade",20255,19618,20374,22091,22034,22094
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",11,"  Retail trade",194181,199094,193106,222494,220201,232081
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",25325,26352,27056,28843,32096,31416
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",13,"  Information",10311,10406,10182,10069,10231,10322
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",37563,40487,40870,42868,39860,44616
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",15,"   Finance and insurance",18195,16166,19669,20998,20386,18173
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",19368,24321,21200,21871,19474,26443
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",17,"  Professional and business services",40520,39575,41195,44653,45669,49664
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",28046,27189,27879,27818,26935,26726
 "11000","District of Columbia",2,SAOVA,"Thousands of dollars",19,"   Educational services",22953,22770,23507,23019,22323,21719
