,"Table with row headers in column A, L, W, AH, AS, BD, BO, BZ, CK, CV, and DG, and column headers in rows 6 through 8 and 45 through 47.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129
20,Florida,20068392,6492,16832374,48927,2438828,43407,584938,21044,15449,3737,Florida,1553,1395,7168,1949,6850,3104,21217,3130,9206,2120,Florida,14887,2402,1685,946,1512,892,,,38654,4969,Florida,2978,1527,846,576,26406,5024,13396,2729,3142,1031,Florida,3648,1682,10036,2738,6560,3205,5178,1920,16449,3351,Florida,16651,2624,26138,4616,5433,1621,5415,2262,10480,2549,Florida,1150,1100,1706,1131,6008,2573,5175,1551,29390,4546,Florida,3762,1525,69289,8181,24003,3844,1363,770,27403,3742,Florida,2710,1292,1568,1346,28826,4924,2523,1026,13949,3220,Florida,1400,1054,19864,5112,29706,4860,1932,984,1480,663,Florida,23377,4315,3819,1819,3479,1574,9195,3179,924,867,Florida,212252,13881,28036,5779,910,577,183306,13613
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Georgia,10088525,6934,8489689,34028,1259007,33617,283325,17018,16372,3924,Georgia,669,572,1713,803,1668,760,15675,5111,4456,1590,Georgia,1995,1109,205,142,652,540,47286,6915,,,Georgia,995,604,230,269,9960,3269,5212,2456,908,628,Georgia,2614,1386,5313,1849,3277,1425,735,557,4328,1352,Georgia,2496,1782,5744,1604,3078,2374,4395,2358,4897,2184,Georgia,185,186,1010,852,2526,1884,649,288,7403,2372,Georgia,1122,674,14853,3543,16095,4190,0,214,7840,2242,Georgia,1543,844,1528,1366,6493,2666,205,281,17395,4078,Georgia,0,214,18087,4532,16078,3510,1523,1233,157,251,Georgia,15852,5993,2377,1200,1300,818,3352,1903,879,1332,Georgia,56504,6654,2502,1267,1452,1262,52550,6538
23,Hawaii,1414355,1729,1206066,10201,136796,9374,53742,4403,240,269,Hawaii,164,247,2701,1480,194,234,10952,2608,1618,760,Hawaii,781,640,0,182,159,267,2013,841,1231,708,Hawaii,,,359,364,1936,792,471,483,308,282,Hawaii,917,721,1108,662,455,495,255,391,654,450,Hawaii,601,469,834,547,733,540,164,248,633,507,Hawaii,98,129,191,213,1193,624,80,141,524,427,Hawaii,115,127,2191,1044,2486,1345,0,182,539,440,Hawaii,1041,693,2244,859,981,594,429,357,1214,815,Hawaii,0,182,331,285,2031,908,1707,1591,0,182,Hawaii,3402,1574,3176,1025,130,211,158,186,0,182,Hawaii,17751,3472,115,112,1475,875,16161,3288
24,Idaho,1635366,2042,1333758,15568,218791,12436,73809,7373,564,472,Idaho,1061,459,3152,1450,1441,2052,18928,3670,3659,2412,Idaho,127,148,0,193,0,193,1864,978,1079,1136,Idaho,0,193,,,857,485,147,137,120,116,Idaho,1201,889,792,864,240,252,128,213,170,81,Idaho,457,324,100,133,533,419,0,193,1864,1710,Idaho,1466,650,0,193,1891,788,119,190,27,27,Idaho,391,346,1003,846,226,179,833,696,563,405,Idaho,567,864,7295,2489,217,180,0,193,196,158,Idaho,152,200,419,308,2959,1058,6625,1633,343,342,Idaho,689,494,6499,2070,441,481,122,162,2282,1169,Idaho,9008,2615,62,71,105,190,8841,2653
25,Illinois,12706393,5951,11029917,29927,1399829,28665,209828,10119,1853,763,Illinois,350,380,6776,1700,1452,928,18953,2204,3998,1098,Illinois,1473,691,171,171,1050,708,11428,2136,5581,1420,Illinois,1697,1245,474,434,,,14473,2641,9969,1965,Illinois,1267,913,2654,995,2022,1320,563,457,2549,813,Illinois,3460,1060,11936,2521,4832,1498,2503,1090,15395,2923,Illinois,636,406,1791,990,2266,1051,170,197,3259,1382,Illinois,757,522,6923,1929,4458,1263,418,296,10281,2608,Illinois,2549,1138,1838,877,4810,1579,438,488,1805,1398,Illinois,295,286,5566,2146,11719,2841,607,492,302,243,Illinois,5804,1499,3377,1242,808,572,11785,2499,287,322,Illinois,66819,5622,1655,715,268,305,64896,5755
26,Indiana,6540691,4312,5527512,24338,843210,22453,147529,10054,2130,946,Indiana,0,189,2871,1205,640,492,6407,1699,2271,1046,Indiana,681,461,105,123,71,106,7523,1864,3710,1319,Indiana,405,492,1176,874,34221,4574,,,514,409,Indiana,1037,599,13386,3039,968,713,698,728,811,496,Indiana,1172,932,11465,2827,1620,963,646,434,3176,1240,Indiana,970,1155,874,955,2359,2401,116,184,2120,1348,Indiana,802,656,3175,1204,2802,1320,887,1030,12940,2800,Indiana,1244,808,100,166,2827,1488,166,286,577,388,Indiana,130,162,3491,1293,5878,1935,709,558,168,181,Indiana,2886,1219,1210,727,29,57,3193,1498,172,247,Indiana,22440,3730,377,514,136,185,21927,3591
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Iowa,3081446,2995,2598298,16346,386465,12421,85937,7418,285,188,Iowa,734,623,3069,1735,1926,1343,2899,895,2158,758,Iowa,173,152,0,155,112,199,3498,3104,1449,733,Iowa,360,348,665,470,19702,2603,1564,818,,,Iowa,1090,591,194,184,604,293,137,167,287,224,Iowa,487,647,730,434,8401,1581,433,262,4932,1401,Iowa,123,111,7216,1852,659,604,269,284,698,480,Iowa,403,364,295,196,852,613,287,289,2013,986,Iowa,1391,1126,605,391,154,165,95,118,875,829,Iowa,1535,579,1747,1091,4325,1485,77,72,95,133,Iowa,834,454,2086,1350,45,56,3140,1064,229,180,Iowa,10746,2176,32,40,0,155,10714,2175
29,Kansas,2875640,2522,2405677,14673,360715,11629,91340,7226,717,468,Kansas,201,214,2079,1028,1504,722,6137,2040,5327,1480,Kansas,436,406,340,481,125,203,3364,1317,2002,974,Kansas,457,392,76,98,2870,946,1470,1083,2970,1601,Kansas,,,1612,862,458,335,145,183,815,665,Kansas,621,713,2205,2241,729,606,20,36,21840,3292,Kansas,6,11,3138,1491,460,627,189,266,759,656,Kansas,1425,859,1665,1078,1982,970,7,14,1085,672,Kansas,4626,1299,673,406,1412,753,0,168,683,548,Kansas,95,153,1928,858,7577,2424,1767,1260,0,168,Kansas,1053,558,1548,939,160,262,189,156,393,365,Kansas,17908,3502,17,31,0,168,17891,3509
30,Kentucky,4373403,3381,3706705,22052,543811,20127,106918,8171,1463,712,Kentucky,237,191,772,571,516,404,4828,1810,1510,566,Kentucky,371,286,391,571,211,207,7031,2050,4830,1949,Kentucky,373,448,0,187,4776,1267,9982,1892,750,333,Kentucky,1976,1178,,,280,337,477,431,2040,1283,Kentucky,1197,844,2617,966,509,382,528,319,1731,836,Kentucky,0,187,894,771,404,399,22,87,273,254,Kentucky,463,456,3383,1482,3622,1199,49,67,14779,2717,Kentucky,786,1080,1143,812,3135,1294,0,187,1967,978,Kentucky,0,187,12533,2778,5595,1696,327,373,0,187,Kentucky,2015,927,1668,931,3349,1423,590,389,525,827,Kentucky,15969,3239,111,143,0,187,15858,3247
31,Louisiana,4612024,4460,4007364,20659,496223,18619,93321,7854,3318,1942,Louisiana,101,113,279,427,2993,1302,7318,2092,1178,658,Louisiana,164,173,15,36,92,145,5404,1421,4077,1493,Louisiana,302,395,60,100,2942,1212,1120,629,457,305,Louisiana,1115,1475,2009,1884,,,47,65,1149,675,Louisiana,837,611,1776,939,592,453,11095,2967,738,519,Louisiana,57,95,112,133,731,459,51,85,1715,1088,Louisiana,524,358,4417,1806,2292,1158,205,346,1492,791,Louisiana,2282,1613,112,140,1831,1315,161,195,1505,1034,Louisiana,0,204,2957,1218,19863,3205,180,234,0,204,Louisiana,1732,1048,1486,706,90,143,322,313,26,60,Louisiana,15116,2842,1048,753,196,352,13872,2707
32,Maine,1317444,1397,1127394,9359,156271,8941,30123,2991,0,163,Maine,32,42,256,229,0,163,1286,817,585,568,Maine,1616,595,0,163,120,146,2602,1230,108,130,Maine,346,328,89,143,297,205,172,217,212,282,Maine,356,383,292,259,617,129,,,216,162,Maine,4433,1364,168,225,25,44,0,163,0,163,Maine,16,29,225,280,29,52,4443,1550,1255,577,Maine,0,163,1947,809,766,376,0,163,478,299,Maine,42,44,471,408,987,695,890,475,418,454,Maine,22,36,220,180,1817,971,159,149,769,465,Maine,480,253,429,473,35,53,189,254,208,355,Maine,3656,990,0,163,0,163,3656,990
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Maryland,5934005,4398,5076791,24604,638788,20920,168894,10301,1526,680,Maryland,361,345,2649,1263,54,88,10859,2434,3002,1116,Maryland,2006,826,6454,2626,22051,3744,10321,2048,5056,1881,Maryland,3228,1831,0,195,2248,924,2016,964,679,501,Maryland,881,491,391,246,323,243,109,137,,,Maryland,3259,1214,1915,875,638,571,767,720,1905,1226,Maryland,148,146,850,810,988,854,440,269,7283,2329,Maryland,344,356,10850,2172,5562,1584,184,322,3477,1637,Maryland,533,547,299,319,14928,2508,799,503,1764,907,Maryland,96,155,1634,914,5611,2179,318,301,174,190,Maryland,24293,4176,1561,780,2605,951,1183,876,272,362,Maryland,49532,4940,1627,1718,249,244,47656,4796
